Pos,ReservNr,Bedarfsmenge,BME,Material,BedTermin,BME.1,Gel,KdA-Pos,Auftrag,Angel.am,Uhrzeit
4527,3194976,1,ST,ff1ad3101d47c0ae8455bfd74b576673,03.07.24,ST,,0,4059175,21.06.24,15:00:29
4528,3194976,1,ST,cd2c4496a7df6a592ae1439f791f5746,03.07.24,ST,,0,4059175,21.06.24,15:00:29
4535,3194976,1,ST,32a1a2eb83ce86005f458e3e5c1ec59c,03.07.24,ST,,0,4059175,21.06.24,15:00:29
4551,3194976,1,ST,eee852fa7e528f05dca073fa84b6acb3,03.07.24,ST,,0,4059175,21.06.24,15:00:29
4602,3194976,1,ST,d54b3870bd4db7bcec5ccc71c850d6ca,03.07.24,ST,,0,4059175,21.06.24,15:00:29
625,3289800,1,ST,2c6dd835db46d9e1115cccfea04627b3,20.09.24,ST,,0,4061992,21.06.24,15:18:42
626,3289800,1,ST,1dc667ddf20619045da70c67003e65e5,20.09.24,ST,,0,4061992,21.06.24,15:18:43
627,3289800,1,ST,be54a3fa6eb9053a2d27a7868e297756,20.09.24,ST,,0,4061992,21.06.24,15:18:43
628,3289800,1,ST,6d44647e18208c502185c5a8cdef1eba,20.09.24,ST,,0,4061992,21.06.24,15:18:43
629,3289800,1,ST,190af8950b54b2b5a66c4859c01c2a69,20.09.24,ST,,0,4061992,21.06.24,15:18:44
1100,3133478,1,ST,1fa4b33e68dd652b8ad8725071c18b05,22.06.24,ST,X,0,4057369,21.06.24,07:48:21
1101,3133478,1,ST,81c80da16510eaf2366b518a4f287cb2,22.06.24,ST,,0,4057369,21.06.24,07:48:33
1106,3133478,1,ST,50193bd30772c9d7695125741e8d69f7,22.06.24,ST,,0,4057369,21.06.24,07:48:33
2233,3150965,1,ST,951cb5d2a1570d1e3693864908505b07,19.07.24,ST,X,0,4057834,21.06.24,06:41:34
2234,3150965,1,ST,e42fa9144aaec8b0e822a2f8a110ffe5,19.07.24,ST,X,0,4057834,21.06.24,06:41:34
2236,3150965,1,ST,272b84dc5c1b6c3808e021235f7c5fb2,19.07.24,ST,,0,4057834,21.06.24,06:41:48
2237,3150965,1,ST,86782cc9619fc734205ce7192609db25,19.07.24,ST,,0,4057834,21.06.24,06:41:48
2240,3150965,1,ST,272b84dc5c1b6c3808e021235f7c5fb2,19.07.24,ST,,0,4057834,21.06.24,06:41:52
2241,3150965,1,ST,86782cc9619fc734205ce7192609db25,19.07.24,ST,,0,4057834,21.06.24,06:41:52
1411,2939351,1,ST,9b4534154cb65a79531c3d4c29278f80,05.07.24,ST,X,0,4051686,21.06.24,10:30:39
1415,2939351,1,ST,9b4534154cb65a79531c3d4c29278f80,05.07.24,ST,,0,4051686,21.06.24,10:30:49
1716,39639,1,ST,301cc3cd3c43f5c8c9e94356c6b73842,30.08.24,ST,,0,4001424,21.06.24,15:39:54
1717,39639,1,ST,301cc3cd3c43f5c8c9e94356c6b73842,14.11.24,ST,,0,4001424,21.06.24,15:39:56
1718,39639,1,ST,301cc3cd3c43f5c8c9e94356c6b73842,14.11.24,ST,,0,4001424,21.06.24,15:39:58
515,3258993,1,ST,04193d8220b01308b9004004478b14f7,30.08.24,ST,,0,4061104,21.06.24,15:59:26
202,3258990,1,ST,73846b7a3e47e39304a6db154f83c79b,02.08.24,ST,X,0,4061101,21.06.24,16:00:14
204,3258990,1,ST,73846b7a3e47e39304a6db154f83c79b,02.08.24,ST,,0,4061101,21.06.24,16:00:20
8112,3022605,2,ST,e38cbb8c1c6c23d8f0b0d7bb94ef5d68,21.06.24,ST,X,0,4053978,21.06.24,11:15:56
449,3234424,1,ST,da18791ef4fd844e5aa519b5f819d8bc,21.06.24,ST,,0,4060263,21.06.24,06:25:23
166,3281306,1,ST,d57d3e9de31db79258cf284dbcedc638,13.09.24,ST,X,0,4061745,21.06.24,12:32:52
167,3281306,5,ST,c038c20ff12a7905fd0f9e0db740dd29,13.09.24,ST,,0,4061745,21.06.24,12:33:22
168,3281306,5,ST,3a4d806ef640b0f9438b3c3aec3f0c4c,13.09.24,ST,,0,4061745,21.06.24,12:33:22
169,3281306,4,ST,51194e1041e1d7618b042e1d233eed4d,13.09.24,ST,,0,4061745,21.06.24,12:33:22
1102,3133478,1,ST,fd76131f5bffa602b0f3c0e972f236b0,22.06.24,ST,,0,4057369,21.06.24,07:48:33
1103,3133478,1,ST,b360c17d87e97ad45833ebda57319398,22.06.24,ST,,0,4057369,21.06.24,07:48:33
